model,transformed_feature,feature,coefficient,abs_coefficient,direction
Logistic Regression,nominal__cp_0.0,cp_0.0,-0.6605729952971666,0.6605729952971666,decreases positive-class score
Logistic Regression,nominal__thal_2.0,thal_2.0,0.5947185678163128,0.5947185678163128,increases positive-class score
Logistic Regression,ordinal__ca,ca,-0.5536362936002022,0.5536362936002022,decreases positive-class score
Logistic Regression,nominal__thal_3.0,thal_3.0,-0.5193665472164601,0.5193665472164601,decreases positive-class score
Logistic Regression,binary__sex,sex,-0.43788317632924934,0.43788317632924934,decreases positive-class score
Logistic Regression,binary__exang,exang,-0.43482379605006083,0.43482379605006083,decreases positive-class score
Logistic Regression,numeric__oldpeak,oldpeak,-0.3913554570086551,0.3913554570086551,decreases positive-class score
Logistic Regression,nominal__cp_2.0,cp_2.0,0.3838775712649458,0.3838775712649458,increases positive-class score
Logistic Regression,numeric__thalach,thalach,0.3193930490383063,0.3193930490383063,increases positive-class score
Logistic Regression,numeric__chol,chol,-0.2619105901148666,0.2619105901148666,decreases positive-class score
Logistic Regression,nominal__slope_1.0,slope_1.0,-0.22217117442480894,0.22217117442480894,decreases positive-class score
Logistic Regression,nominal__slope_2.0,slope_2.0,0.21390137850460186,0.21390137850460186,increases positive-class score
Logistic Regression,nominal__cp_3.0,cp_3.0,0.1760740559403829,0.1760740559403829,increases positive-class score
Logistic Regression,nominal__restecg_1.0,restecg_1.0,0.16261743697452774,0.16261743697452774,increases positive-class score
Logistic Regression,nominal__restecg_0.0,restecg_0.0,-0.14787785558072922,0.14787785558072922,decreases positive-class score
Logistic Regression,numeric__trestbps,trestbps,-0.13910633753004642,0.13910633753004642,decreases positive-class score
Logistic Regression,nominal__cp_1.0,cp_1.0,0.10123863424493279,0.10123863424493279,increases positive-class score
Logistic Regression,nominal__thal_1.0,thal_1.0,-0.07473475444675814,0.07473475444675814,decreases positive-class score
Logistic Regression,numeric__age,age,0.028693274594527602,0.028693274594527602,increases positive-class score
Logistic Regression,nominal__restecg_2.0,restecg_2.0,-0.014122315240704017,0.014122315240704017,decreases positive-class score
Logistic Regression,nominal__slope_0.0,slope_0.0,0.008887062073302116,0.008887062073302116,increases positive-class score
Logistic Regression,binary__fbs,fbs,0.007019760945009724,0.007019760945009724,increases positive-class score
