model,transformed_feature,feature,importance
XGBoost,nominal__thal_2.0,thal_2.0,0.21800946
XGBoost,nominal__cp_0.0,cp_0.0,0.15110695
XGBoost,ordinal__ca,ca,0.07181035
XGBoost,binary__exang,exang,0.063450724
XGBoost,numeric__thalach,thalach,0.05896505
XGBoost,numeric__oldpeak,oldpeak,0.05234548
XGBoost,nominal__thal_3.0,thal_3.0,0.04753716
XGBoost,nominal__slope_2.0,slope_2.0,0.04403557
XGBoost,numeric__age,age,0.037678495
XGBoost,nominal__restecg_1.0,restecg_1.0,0.0359153
XGBoost,numeric__chol,chol,0.035848998
XGBoost,binary__sex,sex,0.034013543
XGBoost,nominal__cp_3.0,cp_3.0,0.03388299
XGBoost,nominal__cp_2.0,cp_2.0,0.03349595
XGBoost,nominal__restecg_0.0,restecg_0.0,0.02769516
XGBoost,nominal__slope_1.0,slope_1.0,0.02664035
XGBoost,numeric__trestbps,trestbps,0.020972235
XGBoost,nominal__slope_0.0,slope_0.0,0.0065963217
XGBoost,nominal__restecg_2.0,restecg_2.0,0.0
XGBoost,nominal__cp_1.0,cp_1.0,0.0
XGBoost,nominal__thal_1.0,thal_1.0,0.0
XGBoost,binary__fbs,fbs,0.0
